지역별 월별 시간대 외기온도 추정 테이블 (°C)  |  방법: T(h) = T월평균 + (DTR/2)×cos(π×(h-14)/12)  |  기준: 2025년,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
▶ 중부1  (철원)  —  월평균기온 및 시간대별 추정온도 (°C),,,,,,,,,,,,,,,,,,,,,,,,,
"시각
(h)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균,,,,,,,,,,,,
▶ 남부  (부산)  —  월평균기온 및 시간대별 추정온도 (°C),,,,,,,,,,,,,,,,,,,,,,,,,
"시각
(h)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균,,,,,,,,,,,,
"월평균
(°C)",3.8,5.4,9.5,15.2,19.5,22.5,26.0,27.2,23.2,17.5,11.2,5.5,15.5,,,,,,,,,,,,
"일교차
(DTR,°C)",6.2,7.0,8.5,9.8,9.2,8.0,7.5,7.2,7.8,8.5,8.2,7.0,7.9,,,,,,,,,,,,
00,1.1,2.4,5.8,11.0,15.5,19.0,22.8,24.1,19.8,13.8,7.6,2.5,12.1,,,,,,,,,,,,
01,0.8,2.0,5.4,10.5,15.1,18.6,22.4,23.7,19.4,13.4,7.2,2.1,11.7,,,,,,,,,,,,
02,0.7,1.9,5.3,10.3,14.9,18.5,22.3,23.6,19.3,13.3,7.1,2.0,11.6,,,,,,,,,,,,
03,0.8,2.0,5.4,10.5,15.1,18.6,22.4,23.7,19.4,13.4,7.2,2.1,11.7,,,,,,,,,,,,
04,1.1,2.4,5.8,11.0,15.5,19.0,22.8,24.1,19.8,13.8,7.6,2.5,12.1,,,,,,,,,,,,
05,1.6,2.9,6.5,11.7,16.2,19.7,23.3,24.7,20.4,14.5,8.3,3.0,12.7,,,,,,,,,,,,
06,2.3,3.7,7.4,12.8,17.2,20.5,24.1,25.4,21.3,15.4,9.2,3.8,13.6,,,,,,,,,,,,
07,3.0,4.5,8.4,13.9,18.3,21.5,25.0,26.3,22.2,16.4,10.1,4.6,14.5,,,,,,,,,,,,
08,3.8,5.4,9.5,15.2,19.5,22.5,26.0,27.2,23.2,17.5,11.2,5.5,15.5,,,,,,,,,,,,
09,4.6,6.3,10.6,16.5,20.7,23.5,27.0,28.1,24.2,18.6,12.3,6.4,16.6,,,,,,,,,,,,
10,5.4,7.2,11.6,17.7,21.8,24.5,27.9,29.0,25.2,19.6,13.3,7.3,17.5,,,,,,,,,,,,
11,6.0,7.9,12.5,18.7,22.8,25.3,28.7,29.7,26.0,20.5,14.1,8.0,18.3,,,,,,,,,,,,
12,6.5,8.4,13.2,19.4,23.5,26.0,29.2,30.3,26.6,21.2,14.8,8.5,19.0,,,,,,,,,,,,
13,6.8,8.8,13.6,19.9,23.9,26.4,29.6,30.7,27.0,21.6,15.2,8.9,19.4,,,,,,,,,,,,
14,6.9,8.9,13.8,20.1,24.1,26.5,29.8,30.8,27.1,21.8,15.3,9.0,19.5,,,,,,,,,,,,
15,6.8,8.8,13.6,19.9,23.9,26.4,29.6,30.7,27.0,21.6,15.2,8.9,19.4,,,,,,,,,,,,
16,6.5,8.4,13.2,19.4,23.5,26.0,29.2,30.3,26.6,21.2,14.8,8.5,19.0,,,,,,,,,,,,
17,6.0,7.9,12.5,18.7,22.8,25.3,28.7,29.7,26.0,20.5,14.1,8.0,18.3,,,,,,,,,,,,
18,5.4,7.2,11.6,17.7,21.8,24.5,27.9,29.0,25.2,19.6,13.3,7.3,17.5,,,,,,,,,,,,
19,4.6,6.3,10.6,16.5,20.7,23.5,27.0,28.1,24.2,18.6,12.3,6.4,16.6,,,,,,,,,,,,
20,3.8,5.4,9.5,15.2,19.5,22.5,26.0,27.2,23.2,17.5,11.2,5.5,15.5,,,,,,,,,,,,
21,3.0,4.5,8.4,13.9,18.3,21.5,25.0,26.3,22.2,16.4,10.1,4.6,14.5,,,,,,,,,,,,
22,2.3,3.7,7.4,12.8,17.2,20.5,24.1,25.4,21.3,15.4,9.2,3.8,13.6,,,,,,,,,,,,
▶ 제주  (제주시)  —  월평균기온 및 시간대별 추정온도 (°C),,,,,,,,,,,,,,,,,,,,,,,,,
"시각
(h)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균,,,,,,,,,,,,
"월평균
(°C)",6.2,7.0,10.5,15.2,19.5,23.0,27.2,28.0,24.0,19.0,13.5,8.2,16.8,,,,,,,,,,,,
"일교차
(DTR,°C)",5.8,6.5,7.2,8.5,8.0,7.5,7.0,6.8,7.2,8.0,7.5,6.2,7.2,,,,,,,,,,,,
00,3.7,4.2,7.4,11.5,16.0,19.8,24.2,25.1,20.9,15.5,10.3,5.5,13.7,,,,,,,,,,,,
01,3.4,3.9,7.0,11.1,15.6,19.4,23.8,24.7,20.5,15.1,9.9,5.2,13.3,,,,,,,,,,,,
02,3.3,3.8,6.9,11.0,15.5,19.3,23.7,24.6,20.4,15.0,9.8,5.1,13.2,,,,,,,,,,,,
03,3.4,3.9,7.0,11.1,15.6,19.4,23.8,24.7,20.5,15.1,9.9,5.2,13.3,,,,,,,,,,,,
04,3.7,4.2,7.4,11.5,16.0,19.8,24.2,25.1,20.9,15.5,10.3,5.5,13.7,,,,,,,,,,,,
05,4.1,4.7,8.0,12.2,16.7,20.3,24.7,25.6,21.5,16.2,10.8,6.0,14.2,,,,,,,,,,,,
06,4.8,5.4,8.7,13.1,17.5,21.1,25.5,26.3,22.2,17.0,11.6,6.7,15.0,,,,,,,,,,,,
07,5.4,6.2,9.6,14.1,18.5,22.0,26.3,27.1,23.1,18.0,12.5,7.4,15.8,,,,,,,,,,,,
08,6.2,7.0,10.5,15.2,19.5,23.0,27.2,28.0,24.0,19.0,13.5,8.2,16.8,,,,,,,,,,,,
09,7.0,7.8,11.4,16.3,20.5,24.0,28.1,28.9,24.9,20.0,14.5,9.0,17.7,,,,,,,,,,,,
10,7.7,8.6,12.3,17.3,21.5,24.9,29.0,29.7,25.8,21.0,15.4,9.8,18.6,,,,,,,,,,,,
11,8.3,9.3,13.0,18.2,22.3,25.7,29.7,30.4,26.5,21.8,16.2,10.4,19.3,,,,,,,,,,,,
12,8.7,9.8,13.6,18.9,23.0,26.2,30.2,30.9,27.1,22.5,16.7,10.9,19.9,,,,,,,,,,,,
13,9.0,10.1,14.0,19.3,23.4,26.6,30.6,31.3,27.5,22.9,17.1,11.2,20.2,,,,,,,,,,,,
14,9.1,10.3,14.1,19.5,23.5,26.8,30.7,31.4,27.6,23.0,17.3,11.3,20.4,,,,,,,,,,,,
15,9.0,10.1,14.0,19.3,23.4,26.6,30.6,31.3,27.5,22.9,17.1,11.2,20.2,,,,,,,,,,,,
16,8.7,9.8,13.6,18.9,23.0,26.2,30.2,30.9,27.1,22.5,16.7,10.9,19.9,,,,,,,,,,,,
17,8.3,9.3,13.0,18.2,22.3,25.7,29.7,30.4,26.5,21.8,16.2,10.4,19.3,,,,,,,,,,,,
18,7.7,8.6,12.3,17.3,21.5,24.9,29.0,29.7,25.8,21.0,15.4,9.8,18.6,,,,,,,,,,,,
19,7.0,7.8,11.4,16.3,20.5,24.0,28.1,28.9,24.9,20.0,14.5,9.0,17.7,,,,,,,,,,,,
20,6.2,7.0,10.5,15.2,19.5,23.0,27.2,28.0,24.0,19.0,13.5,8.2,16.8,,,,,,,,,,,,
21,5.4,6.2,9.6,14.1,18.5,22.0,26.3,27.1,23.1,18.0,12.5,7.4,15.8,,,,,,,,,,,,
22,4.8,5.4,8.7,13.1,17.5,21.1,25.5,26.3,22.2,17.0,11.6,6.7,15.0,,,,,,,,,,,,
23,4.1,4.7,8.0,12.2,16.7,20.3,24.7,25.6,21.5,16.2,10.8,6.0,14.2,,,,,,,,,,,,
